Description,Category,Urgency,Resolution,Cost
Turbine blades are showing signs of erosion.,Mechanical Failure,Medium,Replace Blades,1500
Unusual vibrations detected in the generator bearings.,Mechanical Failure,High,Inspect and Repair,5000
Voltage fluctuations in the main grid connection.,Electrical Failure,High,Stabilize Power Supply,8000
Cooling system pumps are clogged with debris.,Mechanical Failure,Medium,Clean and Maintain,2000
Steam pressure exceeding safe levels in the boiler.,Pressure Issue,High,Shutdown and Repair,10000
Control room software failing to display critical data.,Software Failure,Medium,Update Software,3000
Generator overheating due to a coolant leak.,Leak,High,Fix Leak and Coolant Replacement,7000
Transformer malfunction causing power loss.,Electrical Failure,High,Replace Transformer,12000
Fuel feed system blockage in a gas turbine plant.,Mechanical Failure,Medium,Clear Blockage,2500
Frequent tripping of circuit breakers in the switchgear.,Electrical Failure,High,Inspect and Reset,4000
Excessive noise from the steam turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Abnormal temperature rise in the control room.,Thermal Issue,Medium,Inspect and Ventilate,3500
Corrosion detected in the condenser tubes.,Corrosion Issue,High,Replace Tubes,6000
Sudden drop in fuel supply pressure for a diesel generator.,Mechanical Failure,High,Repair Fuel System,5500
Loss of communication with the remote monitoring system.,Communication Failure,Medium,Restore Connection,2000
Generator phase imbalance causing voltage fluctuations.,Electrical Failure,High,Balance Phases,4500
Cooling tower fan motor failure in a nuclear power plant.,Mechanical Failure,High,Replace Motor,8500
Inaccurate data readings from radiation sensors.,Sensor Failure,Medium,Calibrate Sensors,3000
Turbine governor system malfunction.,Mechanical Failure,High,Repair Governor,7000
Frequent grid synchronization issues.,Electrical Failure,High,Upgrade Synchronization System,9000
Abnormal vibration in the coal conveyor system.,Mechanical Failure,Medium,Inspect and Repair,4000
Smoke emission from the stack exceeding emission limits.,Environmental Issue,High,Reduce Emissions,11000
Steam turbine rotor imbalance.,Mechanical Failure,High,Balance Rotor,8500
Faulty gas compressor in a natural gas power plant.,Mechanical Failure,High,Repair Compressor,7500
Generator excitation system failure.,Electrical Failure,High,Restore Excitation System,5500
Fuel quality degradation in a biofuel power plant.,Fuel Issue,High,Improve Fuel Quality,6000
Boiler feedwater pump malfunction.,Mechanical Failure,High,Repair Pump,4800
Unresponsive HMI (Human-Machine Interface) in the control room.,Software Failure,Medium,Update HMI Software,3200
Unplanned shutdown due to a turbine blade fracture.,Mechanical Failure,High,Replace Turbine Blades,9000
Insufficient cooling water flow in a hydroelectric plant.,Water Flow Issue,High,Restore Water Flow,6000
Electrical panel short circuit causing power fluctuations.,Electrical Failure,High,Replace Panel,5500
High levels of sediment in the cooling water intake.,Water Quality Issue,High,Clean Water Intake,3500
Steam leakage from turbine seals.,Mechanical Failure,Medium,Seal Inspection and Repair,4500
Voltage regulator failure in the generator control system.,Electrical Failure,High,Replace Regulator,4800
Fuel injection system malfunction in a gas-fired power plant.,Mechanical Failure,High,Repair Injection System,7500
Faulty data acquisition system in the instrumentation room.,Software Failure,Medium,Update Data Acquisition System,3200
Oil leakage from the transformer bushings.,Leak,High,Repair Bushings and Replace Oil,7000
Loss of synchronization with the grid frequency.,Electrical Failure,High,Resynchronize,4800
Coal mill gear damage causing operational issues.,Mechanical Failure,High,Replace Gear,8500
